Ticker,Name,Price,Dividend Yield,Market Cap ($M),Forward P/E Ratio,Payout Ratio,Beta
BHR,"Braemar Hotels & Resorts, Inc.",8.31,0.078335373,268.67045,-7.2,-0.554688854,1.10942758
BHVN,Biohaven Pharmaceutical Holding Co. Ltd.,45.11,N/A,2577.892553,-4.77,N/A,1.463631027
BIG,"Big Lots, Inc.",26.89,0.044036697,1063.92175,4.14,0.184601185,1.05097026
BIOS,"Option Care Health, Inc.",4.18,N/A,2952.61824,-9.14,N/A,N/A
BJ,"BJ's Wholesale Club Holdings, Inc.",21.53,N/A,2915.52984,13.98,N/A,1.075205553
BJRI,"BJ's Restaurants, Inc.",41.47,0.011428571,804.8334,20.94,0.242240727,1.254055058
BKD,"Brookdale Senior Living, Inc.",7.03,N/A,1267.61385,-28.31,N/A,1.053083458
BKE,"The Buckle, Inc.",26.58,0.038520801,1277.881,13.09,0.492319811,0.906271118
BKH,Black Hills Corp.,83.91,0.024243141,5196.55024,25.46,0.622022636,0.312676631
BL,"BlackLine, Inc.",63.35,N/A,3515.27202,-113.39,N/A,0.988452261
BLBD,Blue Bird Corp.,21.22,N/A,570.5574,23.09,N/A,1.161840266
BLD,TopBuild Corp.,117.54,N/A,3979.04508,21.81,N/A,0.518626068
BLDR,"Builders FirstSource, Inc.",26.655,N/A,2965.30507,13.26,N/A,1.127917331
BLFS,"BioLife Solutions, Inc.",14.3,N/A,289.195872,24.39,N/A,1.197773428
BLKB,"Blackbaud, Inc.",80.26,0.00588596,4011.1183,321.49,1.924619086,1.410343105
BLMN,"Bloomin' Brands, Inc.",21.115,0.018571429,1824.165,16.87,0.311825378,0.598450222
BLX,Banco Latinoamericano de Comercio Exterior SA,19.89,0.074902724,766.750022,9.29,0.719323649,0.831126418
BMCH,"BMC Stock Holdings, Inc.",30.66,N/A,2059.905,17.4,N/A,0.910069863
BMI,"Badger Meter, Inc.",68.4,0.009452075,1971.10581,42.08,0.393773457,0.923398794
BMRC,Bank of Marin Bancorp,44.11,0.01812415,599.28878,17.53,0.318066158,0.863470599
BMTC,Bryn Mawr Bank Corp.,38.77,0.026479751,775.25352,13.19,0.346974181,0.976887061
BNED,"Barnes & Noble Education, Inc.",3.62,N/A,190.292544,-4.11,N/A,1.14283909
BNFT,"Benefitfocus, Inc.",17.58,N/A,585.3912,-10.39,N/A,1.299316194
BOCH,Bank of Commerce Holdings,11.33,0.016769638,205.49221,13.69,0.228750301,0.82022071
BOLD,"Audentes Therapeutics, Inc.",59.97,N/A,2750.1036,-15.05,N/A,-0.28752348
BOMN,Boston Omaha Corp.,20.69,N/A,482.783784,-50.65,N/A,0.598394328
BOOM,"DMC Global, Inc.",39.82,0.004637754,584.232929,10.85,0.05030865,1.411186285
BOOT,"Boot Barn Holdings, Inc.",34.455,N/A,951.20232,19.3,N/A,1.643291657
BOX,"Box, Inc.",15.59,N/A,2338.67001,-17.09,N/A,1.358899366
BPFH,"Boston Private Financial Holdings, Inc.",11.76,0.041131105,971.71422,12.09,0.49331963,1.319403656
BPMC,Blueprint Medicines Corp.,64.8,N/A,3399.709638,-8.33,N/A,1.585830858
BPRN,The Bank of Princeton,30.65,0.006199021,203.54665,20.68,0.126380205,0.479946868
BRC,Brady Corp.,53.86,0.015734266,2896.573486,20.61,0.327147503,1.016674428
BREW,"Craft Brew Alliance, Inc.",16.165,N/A,314.47048,-48.18,N/A,1.437260812
BRG,"Bluerock Residential Growth REIT, Inc.",11.74,0.055131467,265.030982,-14.27,-0.790273556,0.542794212
BRID,Bridgford Foods Corp.,20.84,N/A,189.16468,29.09,N/A,0.685319444
BRKL,"Brookline Bancorp, Inc.",15.74,0.027918782,1255.88288,14.29,0.399672995,0.879027753
BRKS,"Brooks Automation, Inc.",42.49,0.009433962,3121.488,110.85,1.044113808,2.022400817
BRT,BRT Apartments Corp.,17.29,0.04587156,282.528,-32.49,-1.503194288,0.550824158
BRY,Berry Petroleum Corp.,7.67,0.064085447,606.66753,3.51,0.219458669,1.360947151
BSET,"Bassett Furniture Industries, Inc.",11.45,0.043668122,115.83965,-57.53,-2.552322614,1.225878543
BSGM,"BioSig Technologies, Inc.",4.35,N/A,98.7336,-3.27,N/A,0.234987068
BSIG,"BrightSphere Investment Group, Inc.",10.22,0.038610039,892.076808,5.37,0.210338119,1.504853362
BSRR,Sierra Bancorp,27.295,0.027185893,416.0577,11.61,0.31506791,1.035075635
BSTC,Biospecifics Technologies Corp.,65.14,N/A,469.10888,20.48,N/A,0.826740178
BSVN,Bank7 Corp.,18.51,0.01080497,186.17358,22.9,0.247402276,0.82864071
BTAI,"BioXcel Therapeutics, Inc.",18.94,N/A,387.0311,-9.33,N/A,2.209869376
